date,sulfur,nitrogen,pm10,pm25,temp,humidity,radiation,ozone,wind,carbon
1/1/2016,0.5,7.1,-2.6,1,38.8,63.6,0.041,22,9.4,0.2
1/2/2016,,9.5,29.6,5.5,38.2,75.2,0.058,19,5,0.3
1/3/2016,,21.2,9.2,11.8,39,68.8,0.203,9,3.1,0.4
1/4/2016,0.4,16.2,5.22,4,42.6,62.4,0.061,14,8.8,0.3
1/5/2016,0.2,14.4,,4.4,43.6,83.2,0.086,13,6.1,0.4
1/6/2016,0.6,14,2.9,5.3,48.2,70.2,0.12,17,8.8,0.5
1/7/2016,0.4,12,12.5,3.6,47,56.6,0.188,26,10.3,0.4
1/8/2016,0.1,6.5,,0,40.9,68.4,0.13,36,13.6,0.3
1/9/2016,0.1,9.9,10.9,4.2,40.1,59.5,0.2,28,10.3,0.4
1/10/2016,0.1,12.1,7.07,5.1,39.8,59.7,0.151,23,6.4,0.3
1/11/2016,0.5,19.4,31.26,6.1,41.7,47.4,0.215,21,6.4,0.4
1/12/2016,1.5,27,33.73,18.3,39.4,46.1,0.214,8,3.8,0.4
1/13/2016,0.7,21.1,13.57,8.6,41.9,44.9,0.216,15,5.5,
1/14/2016,0.1,13,23.2,3.9,49,30.1,0.221,29,10.9,
1/15/2016,0.2,10.3,16.4,2.3,49.6,27.9,0.186,33,12.7,
1/16/2016,0.2,14.9,42.52,7.6,45,46.2,0.217,28,7.9,
1/17/2016,0.3,15,40.4,7,50.8,32.8,0.216,21,7,
1/18/2016,1.8,25.7,54.73,10,49.2,33.2,0.222,12,4.7,
1/19/2016,0.8,21.7,15.96,6.3,54.3,25.5,0.228,16,6.9,
1/20/2016,0.9,16.9,27.4,9,55.4,27.1,0.228,21,10,
1/21/2016,0.2,13.4,25.17,6.2,48.7,29.9,0.227,30,8.2,0.4
1/22/2016,2,31.1,57.22,17.6,46.4,33.4,0.23,11,2.6,0.8
1/23/2016,1.8,33.3,58.73,24.3,48,31.4,0.221,12,3,1
1/24/2016,0.6,14.6,79.45,17.2,54.5,24,0.224,25,10.8,0.4
1/25/2016,0.5,20.5,17.11,8,50.2,25.9,0.237,25,8.1,0.4
1/26/2016,0.1,10.9,4.95,5.9,44.2,42.1,0.208,28,11.4,0.2
1/27/2016,0.3,15.5,9.73,7.8,41.7,49.5,0.237,21,5.4,
1/28/2016,1.3,24.7,39.88,16.2,46.4,37.3,0.24,15,4.2,
1/29/2016,2.1,25.4,59.25,17.3,51.7,29.3,0.245,13,5,1.2
1/30/2016,0.2,8.4,41.09,6.5,60,16.2,0.246,29,12.4,0.2
1/31/2016,0,5.7,18.65,5.8,61.4,18.9,0.248,36,13.3,0.2
2/1/2016,0,5,110.18,9.3,47.4,45.8,0.118,37,17.3,0.3
2/2/2016,-0.1,5.8,25,7.5,39.4,42.6,0.228,36,16.2,0.2
2/3/2016,0.1,18.8,15.26,9.4,37.1,32.1,0.26,21,7.5,0.3
2/4/2016,0.4,22.8,52.02,11.8,37.9,25.8,0.265,17,5.1,0.4
2/5/2016,0.2,20.6,9.4,7.6,40.7,24.4,0.265,18,7.1,0.2
2/6/2016,0.3,19.2,28,11.4,43.8,19,0.269,21,6.1,0.3
2/7/2016,0.5,19.2,10.33,11.6,47.7,22.6,0.245,17,5.5,0.3
2/8/2016,0.8,28,25.96,9.9,50.1,24.4,0.261,13,5,0.4
2/9/2016,1.4,29.5,39.79,12,49.8,26.5,0.272,10,3.4,0.5
2/10/2016,1.6,26.7,48.02,14.8,54,25.6,0.277,15,3.8,0.7
2/11/2016,1.2,28.2,40.98,14.3,56.2,22.7,0.28,16,3.9,0.6
2/12/2016,2.3,38,66.03,22.9,57.1,22.1,0.28,14,2.5,0.9
2/13/2016,1.2,29,43.19,16,59.6,17.5,0.28,17,4.1,0.6
2/14/2016,0.9,17.9,28.48,12.9,60.9,15.2,0.284,21,5.6,0.5
2/15/2016,0.7,19.6,31.84,8.8,59.7,15.4,0.283,19,6.5,0.4
2/16/2016,1.3,25.9,47.46,13.1,61.2,18.6,0.293,16,4.9,0.7
2/17/2016,1.5,32.2,50.73,16.7,62,21.5,0.292,17,3.4,0.6
2/18/2016,1.6,27.5,81.65,21.5,67.3,18.4,0.289,21,7.3,0.6
2/19/2016,1.9,29,56.93,19.1,68.7,17.3,0.215,14,4.3,0.6
2/20/2016,1.3,20.4,41.4,13.4,68.5,17.9,0.278,21,5.7,0.5
2/21/2016,0.7,12.9,33.64,9.7,66,21.8,0.248,24,6.4,0.4
2/22/2016,0.3,11.5,99.92,15.2,61.1,36.7,0.299,34,10.1,0.2
2/23/2016,0.1,6.4,35.58,2.4,52,29.3,0.31,37,12,0.1
2/24/2016,0.6,23.7,25.75,15.3,47.2,37.8,0.305,20,3.4,0.4
2/25/2016,0.2,16.6,12.69,7.4,51.9,24,0.314,26,5.8,0.2
2/26/2016,0.8,22.8,23.69,9.1,55.3,24.9,0.313,26,4.5,0.4
2/27/2016,1.7,26.3,58.23,19.2,59.6,20.9,0.314,19,3.5,0.8
2/28/2016,1,20.3,43.61,13.2,63.9,15.2,0.324,22,5.6,0.6
2/29/2016,0.6,15.5,26.1,10.1,65.9,14.6,0.301,27,9.2,0.4
3/1/2016,1.2,21.2,56.72,10.5,65.7,16.6,0.323,20,5.8,0.6
3/2/2016,0.7,14.8,51.97,11,67.7,16.7,0.328,27,10.2,0.3
3/3/2016,0.8,23.6,31.9,10.2,67.8,14.6,0.304,25,5,0.4
3/4/2016,2.6,30.8,100.16,23.3,66.3,16.1,0.309,15,3.8,1
3/5/2016,2.3,27.3,84.32,24.8,65,13.6,0.246,19,4.2,1
3/6/2016,0.4,6.8,62.21,11.7,69.3,9.6,0.233,37,11.4,0.3
3/7/2016,0.1,5.1,75.96,11.8,61.9,15.3,0.288,37,11,0.2
3/8/2016,0.2,10.1,71.58,10.2,52.9,40.3,0.213,36,6.4,0.2
3/9/2016,0.1,16.6,12.27,4.6,56.1,38.1,0.326,23,5.4,0.2
3/10/2016,,22.6,12.92,7.9,60,30.3,0.355,19,4.4,0.3
3/11/2016,,29.4,62.15,23.1,61.7,28,0.347,22,3.6,0.7
3/12/2016,,13.4,137.15,16.8,62.1,20.2,0.343,31,15.1,0.3
3/13/2016,,7.4,8.05,5.3,62,18.3,0.364,43,12.8,0.3
3/14/2016,,10.8,15.59,8.1,65.8,16.2,0.35,33,10.9,0.3
3/15/2016,0.6,12.3,23.4,6.9,66.1,18.1,0.366,32,8,0.5
3/16/2016,0.6,25.2,30.19,11.5,65.1,15.4,0.366,17,4.1,0.6
3/17/2016,0.3,20.9,19.77,10.1,66.8,12.9,0.372,24,6.5,0.3
3/18/2016,0.1,11.8,27.9,8.5,67.8,13.1,0.379,35,8.7,0.2
3/19/2016,0.1,7.8,26.36,9,53.6,38.3,0.37,33,9.8,0.2
3/20/2016,0.2,10.2,4.75,4.2,55.1,32.9,0.367,34,7.2,0.3
3/21/2016,0.9,20.7,38.08,10.6,64.2,24.2,0.379,25,4.2,0.5
3/22/2016,0.5,12.6,187.83,26.7,70.5,13.1,0.351,37,14.8,0.2
3/23/2016,0.1,6.8,158,17.5,62.7,11.9,0.366,48,16.2,0.2
3/24/2016,1.3,24.5,35.79,13.4,56.9,13.8,0.389,20,3.7,0.6
3/25/2016,0.4,13.6,16.24,6.3,62,12.8,0.392,34,9.6,0.3
3/26/2016,0.1,7.2,26.67,5.6,67.2,10.3,0.392,47,11.7,0.2
3/27/2016,0.2,11.3,24.87,8.6,60.9,22.4,0.394,40,6.7,0.3
3/28/2016,0.2,14.1,31.08,7.1,66.7,18,0.36,30,6.8,0.2
3/29/2016,0,6.6,158.51,26.7,69.1,16.5,0.348,41,13.4,0.1
3/30/2016,0,5.6,30.14,10.3,61.1,26.7,0.325,42,12,0.1
3/31/2016,0,9,10.4,6.2,56.1,24.6,0.368,39,9.2,0.1
4/1/2016,0,8.8,52.67516129,3.8,50.9,41.5,0.34,37,7.4,0.2
4/2/2016,0.1,13.4,1.47,4.5,52.8,34.8,0.41,30,4.7,0.3
4/3/2016,1.1,20.4,8.6,10.9,60.3,21.1,0.414,26,3.2,0.6
4/4/2016,1.6,27.6,25.97,14.8,66.5,15.2,0.412,20,3.1,0.7
4/5/2016,1.1,18.3,51.38,11,73.4,11.2,0.4,34,8.1,0.4
4/6/2016,0.9,20.7,60.39,12.1,69,8.9,0.4,36,6.1,0.5
4/7/2016,0.7,27.4,50.97,12,68.2,13.2,0.161,19,4.1,0.4
4/8/2016,0.2,11,42.34,7.1,67.4,38.6,0.333,36,8.3,0.1
4/9/2016,0.5,15.6,13.85,11,67.7,37.8,0.423,35,6.3,0.3
4/10/2016,0.2,4.8,16.39,13.2,67.5,21.6,0.402,36,12.3,0.2
4/11/2016,0.1,8.4,105.42,3.1,62.8,32.2,0.429,38,8.6,0.1
4/12/2016,0.1,9.8,0.5,2.2,59.3,45.5,0.296,31,6.5,0.2
4/13/2016,0.4,17,5.18,7.9,63.4,40.8,0.431,27,4.4,0.3
4/14/2016,1.2,27.9,19.52,12.4,71,22.5,0.433,19,3.9,0.6
4/15/2016,0.2,8,48.44,21.8,74.4,14.3,0.406,44,14.3,0.1
4/16/2016,0.1,4.7,141.09,10.9,61.9,16.2,0.429,50,13.6,0.1
4/17/2016,0.1,11.7,34.17,5.5,61,22.7,0.44,34,5.2,0.2
4/18/2016,0.1,12.3,5.02,7.4,64.8,32.8,0.376,35,7.2,0.2
4/19/2016,0.2,15.4,21.47,8.6,66.8,28,0.441,34,5.6,0.3
4/20/2016,1.3,17.5,20.7,8.8,72.1,13.9,0.448,36,7.1,0.3
4/21/2016,0.2,15.9,22.09,5,75.4,14.7,0.443,40,6.1,0.2
4/22/2016,0.1,12,12.5,10.3,72.9,36.4,0.359,41,9.8,0.2
4/23/2016,0.1,9,70.4,6.4,72.8,34.8,0.429,38,7.1,0.2
4/24/2016,0.2,4.8,12.57,8.8,74.2,16,0.452,41,13.5,0.1
4/25/2016,0.2,4.9,31.32,20.9,74.3,15.9,0.439,44,14.8,0.1
4/26/2016,0.1,5.9,123.1,10.7,67.4,16.3,0.446,49,14.5,0.1
4/27/2016,0.5,19.3,59.05,21.1,66.1,15.2,0.454,33,8,0.3
4/28/2016,0.6,11.3,36.68,19.6,71.8,13,0.455,38,10.2,0.2
4/29/2016,0.1,6.4,52.88,8,64.6,19,0.456,50,13.9,0.1
4/30/2016,0.2,12,26.3,7.4,66.6,19.2,0.456,42,7.2,0.2
5/1/2016,0.1,5.1,19.2,7,59.5,35.9,0.447,38,11.4,0.1
5/2/2016,0.1,11,45.19,9.6,58.9,37.8,0.457,32,7.3,0.2
5/3/2016,0.2,12,12.59,15,69.2,23.7,0.456,41,5.5,0.2
5/4/2016,0.4,15.2,13.01,8.3,74.1,18.3,0.383,43,6.5,0.2
5/5/2016,0.4,15.7,19.18,10.7,78.8,12.9,0.439,42,8.3,0.2
5/6/2016,0.4,11.6,24.55,23.5,80.8,10.7,0.454,43,10.3,0.2
5/7/2016,0.2,11.1,132.94,16.1,72.6,11.4,0.47,49,8.8,0.2
