date ,sulfur,nitrogen,pm10,pm25,temp,humidity,radiation,ozone,wind,
1/1/2016,0.4,3.8,12.3,3.1,38.4,62.8,0.062,23,11.6,
1/2/2016,0.5,9.4,14.7,5.1,37.9,75.4,0.055,17,5.3,
1/3/2016,0.9,21.8,17.9,6.7,38.4,68.1,0.222,11,4.1,
1/4/2016,0.9,11.2,13.7,2.6,42.2,62.6,0.058,18,10,
1/5/2016,1,15.1,14.6,5,43.9,83.5,0.097,11,5.6,
1/6/2016,1,14.1,14.5,4,47.9,70.7,0.153,16,7.8,
1/7/2016,0.9,9.1,15.8,2.8,46.4,57.6,0.204,26,7.7,
1/8/2016,0.9,5.2,12,2.3,40.4,69.5,0.144,35,9.8,
1/9/2016,0.7,7.9,13.5,4,39.4,61.6,0.232,27,7.2,
1/10/2016,0.5,9.3,14.9,4.8,39.3,60.7,0.163,26,5.6,
1/11/2016,0.6,16,20,7,40.7,51.6,0.236,23,5.4,
1/12/2016,0.7,22.8,21.1,6.7,38.8,44.7,0.239,12,5,
1/13/2016,0.7,20.3,17.2,4.3,41.4,45.7,0.241,16,5.3,
1/14/2016,0.7,11.9,19.2,3.1,48.3,31.8,0.245,29,10.1,
1/15/2016,0.7,8.3,18.5,3.2,48.9,29,0.2,33,10.4,
1/16/2016,0.6,14.3,20.6,7.7,44.3,47.9,0.24,27,5.7,
1/17/2016,0.6,12.1,19.3,5.1,50.4,32.7,0.241,21,6.8,
1/18/2016,0.9,19,26.5,6.9,49.4,31.6,0.249,16,4.7,
1/19/2016,1.3,20.1,31.4,7.5,54.5,24.3,0.253,17,6.1,
1/20/2016,0.9,12.5,22.7,4.3,55.8,24.9,0.254,22,7.9,
1/21/2016,0.5,11.4,21.8,5,48.5,29.7,0.253,28,5.5,
1/22/2016,1,23.4,31.3,9.4,45.9,31.8,0.257,14,3.2,
1/23/2016,1.7,33,47.4,14.2,48.2,30.6,0.247,12,3,
1/24/2016,1,8.2,49.2,8.6,54.7,22.6,0.25,25,9.6,
1/25/2016,0.9,16,22.1,5.3,49.1,28,0.261,24,6.4,
