pm25,ozone 
3.1,23
5.1,17
6.7,11
2.6,18
5,11
4,16
2.8,26
2.3,35
4,27
4.8,26
7,23
6.7,12
4.3,16
3.1,29
3.2,33
7.7,27
5.1,21
6.9,16
7.5,17
4.3,22
5,28
9.4,14
14.2,12
8.6,25
5.3,24
3.7,28
3.9,21
5.4,21
4.5,17
4.5,29
4.1,34
4.8,37
4,34
7.1,21
4.5,17
6.6,18
5.2,21
3.9,21
6.2,15
8.8,11
8.9,14
6.1,19
9.7,16
9.6,17
5,23
4.4,20
6.5,15
9.2,18
9.7,19
8.6,21
8.1,23
8,23
9.8,35
4.7,36
7.2,21
5.8,23
7.8,28
8.1,19
6.8,29
6.9,27
8.5,22
10.1,26
9.9,29
13.4,17
12.8,19
7.8,38
10,30
12,37
8.5,26
8.5,22
11.2,28
13.4,37
7.9,41
9.3,32
10.7,33
10.6,22
8.8,27
8.8,33
9.8,35
7,36
9.3,27
18.1,40
14.5,43
8.8,21
7.8,35
9.1,43
9.9,44
11.4,31
22.5,39
10.3,39
8.5,36
6.5,38
6,33
8.4,28
12,21
10.7,33
11.5,36
12,19
7.5,38
7.1,35
10.1,35
3.5,39
6,30
5.4,28
8.1,24
14.5,41
7,46
5.6,34
7.3,39
6.7,31
6.9,34
7.6,42
9.5,47
6.8,39
8.6,38
18.8,41
10.3,46
8.6,37
10.9,40
7.7,46
6.4,43
9.2,39
6.4,35
7.6,44
5.6,49
6.3,48
16.3,44
9.3,49
8,49
7.7,41
7,39
7.6,37
11.1,37
11.7,48
8.7,45
7.9,43
15.1,31
7.4,33
5,28
6.8,32
8,33
6.6,42
8.9,43
9.6,39
11.6,43
11.5,38
10.6,42
10.5,43
12.1,35
10.4,37
9.3,33
6.6,33
6.7,40
7.4,41
11.2,39
8,46
7.2,48
8.6,53
9.6,50
8.8,44
8.4,45
12,44
7.6,46
7.6,47
8.6,38
7.1,32
7.4,31
6.5,37
6.6,36
8.5,46
10.3,42
7.6,43
11.9,42
12.2,37
13,55
14.5,51
9.2,49
8.3,46
7.5,42
6.8,28
7.2,34
9.6,36
6.5,34
5.3,43
6.1,41
7.4,42
9.3,37
8.2,43
10.4,41
6.5,43
9.7,45
6.8,42
6.5,35
6.5,33
6.8,33
6.7,33
19.5,40
13.1,45
10.9,43
10.4,47
9.7,47
8.8,35
6.4,33
6.8,35
8.1,41
21.7,44
20.8,40
9,
8,
9.1,53
10.9,37
7,40
7.2,42
8.2,41
7,41
6.1,42
5.8,48
7.8,44
7.9,48
8.3,43
10.5,43
6.5,41
4.6,39
4.6,38
6.2,39
5.8,41
5.7,44
7.3,30
6.9,52
6.6,39
7.5,38
5.9,38
7.2,34
5.5,39
7,41
6.6,33
7.6,31
8.3,35
6.8,41
7.6,43
5.9,41
7.4,36
6.6,31
6.5,29
7.2,34
7.9,38
8.1,34
10.1,33
9,31
6.5,20
5,19
4.9,23
7.3,29
7.9,28
8.5,39
5.7,33
6.4,23
8.6,24
8.8,26
6.7,21
9.5,23
8.9,21
10.6,24
9.4,21
9,22
8.4,22
6.4,27
7.4,31
8.5,30
5.6,31
9.2,25
8,20
5.5,39
7.5,33
5.1,25
7.1,23
5.5,21
5.8,29
6.6,26
7,25
7.3,28
4.7,25
4.8,27
8.5,24
9.6,16
9.7,15
10.8,25
12.3,17
8.1,21
6.3,27
6,28
7.3,24
7.9,25
8.3,41
9.6,32
13,25
14.5,25
14.2,18
9.4,22
7.8,19
8.9,30
10.1,20
13.6,22
12.8,20
8.9,20
6.3,22
7,17
5.7,27
