humidity,nitrogen
22.2,18.6
23,4.8
19.8,5.1
22.3,8.5
20.3,4.2
13.1,12.6
11.3,14.2
9.2,10.2
8.5,13.5
6.3,13.4
23.7,5.7
27.3,12.6
18.7,11.6
19.5,5.4
28.5,5.5
33.2,5.1
39.2,0.3
58.4,2.8
37.9,2.9
33.1,4.3
56.8,3.7
44,1.4
17.6,3.8
16.7,8.5
24.6,3.8
24.6,3.4
16.4,4.9
15.1,5.2
13,7.1
22.9,8.7
29,4.1
30.3,7.6
25.7,9.5
24.2,6.6
18.2,9.2
17,11.4
36.4,4.1
42.1,6.6
49.6,6.5
39.7,9.7
31,8.3
33.5,13.8
44,8.6
52.6,7.4
47.9,5.9
39.9,6.8
54,7.7
28,10.9
23.6,7.7
21.7,10.6
35.2,6.6
40.4,5.1
41.5,6.1
53.2,7.1
55,8.6
43.3,10.1
40.6,11.8
41.5,6.8
49.5,4.9
65.3,4
59.4,4.7
38.7,6.3
30.9,6.8
28.3,4.5
26.5,4.3
34.9,2.6
20.7,8.5
12.3,4.9
13.3,9.1
10.7,5.5
7.2,17.1
6.9,20.5
4.6,13.3
4.9,4.9
30.3,5.9
26.5,7
22.4,6.3
17,9.6
13.8,5.9
30.5,2.7
39.3,6.1
35.9,10.1
13.9,5.2
10.9,7.8
32,4
28.1,4.2
22.5,-0.1
23.3,3.2
28.5,3
35.1,5.6
32.8,4.5
47,1.4
45.8,9.4
53.8,4.3
47.7,4.1
53.8,7.8
64.1,7.9
42.8,9.1
49.7,13.7
44.8,10.8
55.2,2.9
42.2,3.8
29.7,7
35.6,6.5
35.6,5.6
44.2,1.3
38.5,3.8
31.8,3.9
42.5,2.7
45.3,5.3
24.9,19.3
38.7,7.7
46.6,7
58.3,10.8
43.7,11.6
49.6,4.8
54.7,6.6
54.8,10.2
47.1,3.1
35.5,5.8
27.3,11.3
26,11.6
7.1,12.2
8.6,9.9
34.1,11.1
15.5,4.6
13.4,8.2
13.6,7.8
20.6,2.5
7.5,9.3
6,18
20,4.8
21,6.6
26.7,7.6
60.9,4.6
18,6.2
12.4,6.2
25.3,7.3
15.5,7.3
8.2,3.6
18,7.8
18.8,8.9
14.3,5.6
30.3,4
31.6,3.6
16.5,10.1
19,5.5
28.7,3.4
