humidity,pm10
16.3,22.9
14.9,33.7
14.6,26.8
13.6,39.4
12,38.5
8.7,32.2
15.6,43.2
40.7,47.3
38.5,22.4
29.2,23.6
26.4,38
17.6,80.2
18.7,20.3
16.3,24.3
18.1,22.5
13.8,28.2
12.7,26.6
12.9,30.8
37.6,34.6
32.3,20.6
22.8,29.9
10.8,93.5
12.2,78
11.4,28.3
10.8,25
10.1,25.9
19,23.1
17.3,28
16.6,110.4
27.9,30.6
25.3,23.7
40.1,18
33.9,14.8
18.9,20.5
12.8,30.4
10.3,26.7
7.3,27.1
12.2,42.3
35.4,25.8
36.9,21.9
21.9,56
32.4,13
46,20
38.1,20.2
20.3,28.8
14.4,77.7
16.8,31
21.9,19.5
30.5,26.2
27.5,22.7
12.5,23.9
13.6,24.9
35.4,40.8
33.4,20.9
16.5,30.3
16.2,94.1
16.5,47.5
14.8,31.6
12.5,43.8
19.6,29.3
19,22.5
34.4,44.1
36.9,19.8
22.5,23.4
17.5,21.7
12.1,26.7
10,79
11.1,35.4
11.7,32.7
19.5,25.9
14.8,23.8
11.4,25.2
23.3,32.5
35.6,30.3
39.9,31.9
28.9,34.5
17.2,82.1
29.2,36.5
50.5,18.8
42.6,23.3
20.4,27.3
9.6,21.4
9.9,40.6
9.5,40.4
9,47.9
10.1,52.1
12,47.4
12.5,28.5
9,36.1
9.2,33
27.4,27.5
41.7,20.3
30.1,22
20,21.5
20.8,22.5
22.1,30.7
27.9,28.1
27,30.3
17.6,30.8
15.3,47.9
16.8,51.5
16,45.8
25.7,38.5
39.5,34.6
21.9,36.1
22.2,30.7
13.8,31.9
12,30.3
14.8,27.7
13.8,45
17.6,30.6
16.2,35
16,28.3
11.4,34.5
16.1,48.2
16.4,26.1
14.9,34.8
14.4,38.6
10.9,26.7
11.5,25.3
10.8,28.4
29.6,32.8
41.3,32.7
42.3,25.4
23.2,27.2
9.9,23.5
10.4,23.7
8.9,25.3
9.2,33.1
12.3,29.7
12.1,25.4
7.9,24
31.1,29
26.3,21.1
12.2,45.9
15.6,107.9
18.7,22.6
15.1,48.3
23.8,53.2
51.4,16.1
27.7,14.3
10.4,20.1
9.9,27.7
14,25.4
23.1,30.2
14.8,26
12.7,36.8
12.1,22
20.5,27.7
25.9,25.8
30,20.7
24.2,24
23.1,21.4
16.9,26.4
10.4,20.1
12.1,26.8
20.4,115.3
18.2,25.2
13.4,28.6
11.9,20.5
12.7,20.9
28.8,24
27.2,26.4
20.8,29.7
20.7,26.1
9.2,43.1
13,41
13.2,24.9
17.7,27.8
30.2,25.5
36.7,50.4
38.4,27.1
34.3,21.8
22.2,38.7
17.8,40.3
8.6,29.8
16,39.6
10.3,24.7
9.4,35.2
12.1,38.5
11.5,27.8
16.4,22.9
45.2,22.7
30.8,22.7
24.8,28.4
24.6,32
22.2,91.6
20.9,24.3
20,24.3
25.4,49.1
16.3,19.2
12,24.4
14.8,37.6
16.7,27.3
15.6,36.9
27.3,43.8
27.5,48.1
30.6,28.2
27.5,21.3
26.4,23
12.6,25.4
13.1,28
11.1,24
9.5,23.1
9,29.6
12.3,35
16.1,57
14,35.2
12.7,33.1
17.7,36.1
18.3,47.1
13.9,33.5
27.1,42.2
15.1,37.1
11.5,100.3
10,128
10.8,23.4
8.2,30.1
6.9,33.8
6.8,58.1
10,40.9
16.9,66.8
22.3,42.5
21.3,21.1
24.5,29.5
18.6,29.9
12.5,34
33.7,34
26,39.4
20.7,35.7
17.2,33.7
14.8,25.9
14,30.9
12.8,33.9
12.5,114.2
14.8,25.5
12.9,26.9
14.4,26.1
12.4,22.6
10.8,35.3
9.4,29.9
7.2,29.2
7.9,32.1
9.2,40.9
12.5,30.4
15.5,22.3
14.5,28.1
9.6,28.8
9.6,29
7,35.9
6,43.9
6.7,29.2
22.2,49.1
39.5,30.6
26,25.2
12.7,27
19.9,25
8.6,30.1
7.8,36.2
8.3,24.4
7.7,26.2
7.9,28.8
7.8,29.7
7.3,27.8
18.1,22.7
18.4,35.3
27.6,24.6
42.2,28.3
31.3,25.7
22,32.1
16.8,47.1
27.6,123.5
27.4,24.4
37.6,27.5
44.2,29.4
57.2,43.6
46.2,89.8
21.6,44.1
29.2,41.8
49.1,19.3
32.8,17.4
29.5,20
31.8,30.8
35.4,38.8
48.1,27.9
31.8,24.4
19.6,33.7
15.2,22
14.6,27.9
32,31.3
35.2,28
12.5,26.1
11.3,40.5
20,31.8
29.4,27.4
29.7,26.7
15.7,39.8
16.2,30
17,40.6
21.1,23.6
22.7,21.6
14.1,24.8
9.5,55.4
8.2,199.7
13.2,39.3
21.4,32.4
37.8,23.6
28.3,23.8
12.2,33.4
13.7,29.4
39.6,33.5
32.6,20.1
16.3,24.8
11.1,35.1
15,24.6
30,30.7
43,19.7
37.8,17.1
20.9,23.2
18.5,31.9
12.8,28.5
10.1,25.6
9.4,26.7
16.4,34.9
14.2,27.1
9.8,26.4
9.4,29.2
9.4,27.6
9,24.2
10.5,27.7
16.1,37.5
25.3,27.2
29.1,35.5
54.9,27.5
46.7,17.8
49.9,18.7
43.4,20.6
27.4,27.9
17.8,25.4
17.1,30
13.1,65.6
14,32.9
10.3,26.8
18.1,128.5
17.7,52.4
9.4,65
13.9,45.3
13.9,32
11.5,24.3
10.9,99.5
14.1,48
15.8,25.5
10,25.6
27.1,38.1
42.7,29
25.5,16.5
28.5,27.3
68.1,13.9
64.7,14.1
54.4,21.9
36.3,20.6
32.4,24.7
70.7,9.1
55.9,20
48.9,24.2
47,25.1
61.8,11.6
61.7,13.6
39,25.5
47.6,27.2
35.2,25.8
42.1,26.4
69.6,16.1
39.6,11.5
40.1,23.1
36.3,18.8
22.8,20.7
20.9,31.8
22.9,16.6
20.9,17.4
19.1,30.6
28.1,109.7
25,17.1
17.2,22
17.1,16.3
18.6,25.8
14.2,23
17.1,19.1
19.9,23.6
23.6,25.2
19.2,20.4
21.2,19.3
24.6,17.6
25.2,20.1
21.6,17.7
16.8,18.7
17.2,20.4
36.7,35.3
25.6,27.5
26.5,16.4
22.4,23.1
13.9,20
15.6,23
15.5,25.7
17.1,15.9
14.7,21.1
13.7,24.3
18.2,19.6
18.3,21
15.1,21.5
17.8,27.6
16.1,22.3
12.3,23.2
11.7,21.7
17.8,38.7
16.3,35.7
12.3,27.1
14.9,24.2
12.5,19.5
11,18.7
20.4,41.5
17.7,32
11.2,27.4
12.1,64.9
14.7,38.6
25.9,28.1
31.1,25.7
15.3,20.5
13.7,19.3
13.4,18.9
11.6,18.4
11.9,19.6
10.8,19.8
10.6,30
10.6,24.7
10.8,20.3
8.7,21.1
7.5,23.1
9.3,19.3
12.2,18.4
17.4,22.7
28,25.2
11.3,25.4
13.9,28.1
19.4,20.9
19.2,16.6
16.7,16
25,19.7
29.6,23.2
16.7,45.5
20.2,29.4
27.4,20.5
35.4,18.8
26.4,32.7
20.1,42.2
16.2,58.2
17.1,42.1
9.4,26.4
8.6,30
21.5,75
31,56.8
20.3,17.6
15.7,279.4
24.4,18.4
20.9,36.6
16.7,27.8
14.9,31.9
14.5,35.9
13.4,50.7
11.7,37.8
50.6,16.3
40.6,12
18.6,20.4
26.5,19.4
25.8,19.8
15.9,24
8.5,31.8
13.7,38.7
18.4,35.5
19,25.8
23.8,32
28.3,24.3
21.8,21.9
7.9,36.3
7.7,24.4
7,24.3
10.4,21.7
10.5,43.3
8,25
11.6,26.6
22.8,47.1
24.5,32.5
13,42.3
11.9,23.3
36,59.6
40.4,12.7
32.3,16.4
21.9,34.3
26.3,32.4
19,47.3
14.2,27.5
13.5,26.8
7.4,24.5
6.9,59.3
16.8,65.1
32.4,15.1
60.1,14.4
44.8,11.7
34.5,15.6
10.3,68
11.8,27.1
28.8,21.2
18.3,29.9
16.9,48.7
26.3,31.4
14.3,39
7.5,23.3
10.5,26.5
11.9,23.4
41.1,22.3
38.7,36.5
28.8,30.9
24.4,27.2
9.9,22.3
9.8,33.3
14.4,23.3
17.5,29.7
12.3,22.6
12.5,21.1
13.2,49.6
12.8,18.7
8.9,20.8
6.2,25.1
7.3,28.9
7.9,26.9
6.6,21.1
26.2,37.4
31.6,23.1
31.1,30.4
