humidity,sulfur
42.9,0.5
35.9,0.6
22.2,1.2
23,0.9
25,0.6
21.4,0.7
19.8,0.8
22.3,1
20.3,0.8
24.4,0.8
32.8,0.7
24.8,0.7
14.2,0.8
13.1,0.9
11.3,1
9.2,1
8.5,0.9
6.3,0.9
15.3,0.7
23.7,0.5
27.3,0.9
18.7,1.1
19.5,0.9
28.5,0.8
33.2,0.7
30.6,0.6
39.2,0.5
58.4,0.5
37.9,0.6
33.1,0.6
56.8,0.6
44,0.5
24.3,0.3
17.6,0.4
16.7,0.6
21.7,0.4
26.7,0.6
24.6,0.5
24.6,0.5
18.3,0.7
16.4,0.8
15.1,0.7
13,0.6
12,0.7
22.9,0.9
21.6,0.5
29,0.4
30.3,0.5
25.7,0.7
24.2,0.6
18.2,0.8
17,1
19.2,0.9
30.2,1.4
36.4,1.4
33.5,0.7
42.1,1.1
49.6,0.6
48.7,0.7
44.6,0.8
39.7,0.9
31,0.9
28.2,0.8
33.5,1
44,0.9
52.6,0.9
47.9,0.6
39.9,0.8
54,0.7
38.8,0.6
28,0.8
23.6,0.8
21.7,0.7
35.2,0.8
40.4,0.8
41.5,0.8
50.4,0.4
53.2,0.5
55,0.4
43.3,0.5
40.6,0.5
41.5,0.5
49.5,0.4
48.8,0.4
47.7,0.5
65.3,0.4
59.4,0.4
30.9,0.3
28.3,0.2
26.1,0.5
21.3,0.7
26.5,0.7
32.9,0.5
34.9,0.5
20.7,0.6
12.3,0.6
10.3,0
13.3,0.1
10.7,0.1
7.2,0.3
6.9,0.4
4.6,0.1
4.9,0.2
13.4,0.6
30.3,0.5
26.5,0.5
22.4,0.6
17,0.6
13.8,0.5
30.5,0.4
42.4,0.3
39.3,0.4
35.9,0.6
16.1,0.6
13.9,0.6
10.9,0.6
31.3,0.6
25.4,0.8
19.2,0.4
18.2,0.4
26.2,0.3
24.4,0.2
32,0.1
28.1,0.2
22.5,0.2
23.3,0.3
28.5,0.4
35.1,0.4
32.8,0.4
47,0.3
64,0.3
50.3,0.4
41,0.6
45.8,0.5
53.8,0.4
47.7,0.4
53.8,0.5
64.1,0.6
59.8,0.8
50.6,0.9
47.5,0.8
42.8,0.8
49.7,0.9
44.8,0.9
42.2,0.1
31.2,0.2
29.7,0.2
35.6,0.5
36.5,1.3
35.6,1.5
44.2,1.2
38.5,1.3
31.8,1.4
42.5,1.5
51.2,1.2
43.7,1.2
41.8,1
45.3,1.1
32.4,1
24.9,1.2
38.7,0.9
46.6,1.1
67.9,1.3
58.3,1.4
43.7,1.2
49.6,1.1
54.7,1.5
54.8,1.3
47.1,1.3
38.4,0.9
33.5,1.1
35.5,1.3
27.3,1.5
26,1.6
