humidity,temp
16.3,65.2
14.9,68.4
14.6,67
13.6,66.9
12,65.9
8.7,69
15.6,60.6
40.7,52.2
38.5,55.2
29.2,59.9
26.4,61.9
17.6,63.4
18.7,61
16.3,65.3
18.1,65.1
13.8,65.4
12.7,65.7
12.9,66.9
37.6,53.3
32.3,54.6
22.8,64.5
10.8,70.8
12.2,61.1
11.4,56.5
10.8,62.4
10.1,66.2
19,61.7
17.3,66.5
16.6,68.4
27.9,59.9
25.3,55
40.1,50.6
33.9,52.5
18.9,60.3
12.8,67
10.3,73
7.3,69
12.2,68.4
35.4,67.8
36.9,67.8
21.9,66.9
32.4,62.4
46,59
38.1,63.8
20.3,71.4
14.4,73.4
16.8,60.9
21.9,60.6
30.5,65.1
27.5,65.7
12.5,71.8
13.6,75.1
35.4,72.7
33.4,72.7
16.5,73.1
16.2,73.4
16.5,66.5
14.8,65.7
12.5,71.7
19.6,63.8
19,66.2
34.4,59.5
36.9,58.6
22.5,69.3
17.5,73.8
12.1,78.5
10,80.2
11.1,71.9
11.7,68.7
19.5,68.5
14.8,72.9
11.4,76.5
23.3,75.3
35.6,78.7
39.9,73.6
28.9,77.2
17.2,78.8
29.2,70.9
50.5,62.4
42.6,66.3
20.4,77.2
9.6,79.1
9.9,78.7
9.5,79.3
9,78.1
10.1,78.6
12,74.6
12.5,70.8
9,77
9.2,81.8
27.4,78.7
41.7,73.5
30.1,54
20,54.5
20.8,57.3
22.1,62.6
27.9,65.9
27,64.7
17.6,59.2
15.3,63.2
16.8,65.9
16,67.9
25.7,68.6
39.5,62.8
21.9,64.1
22.2,68
13.8,70.8
12,71.3
14.8,71
13.8,73.2
17.6,76.3
16.2,75.5
16,76.2
11.4,76.4
15.8,66.8
24.1,59.7
15.8,65.8
18.5,64.7
15.9,67.8
32.3,58.8
37.7,57.4
23.8,65.6
11.7,68.6
23.8,56.5
28.2,58.8
20.6,65.4
16.1,64.1
16.4,58.8
14.9,65.2
14.4,71.2
10.9,74.1
11.5,70.5
10.8,68.7
29.6,72.5
41.3,73.4
42.3,71.2
23.2,75.7
9.9,74.1
10.4,73.6
8.9,74.5
9.2,75.8
12.3,76.6
12.1,77.1
7.9,74.8
31.1,65.7
26.3,67.7
12.2,78.1
15.6,74.8
18.7,67.8
15.1,75.4
23.8,74.5
51.4,52.1
27.7,60.1
10.4,70.7
9.9,75.3
14,75.6
23.1,68.9
14.8,76.6
12.7,80.5
12.1,78.4
20.5,74.8
25.9,67.1
30,61.3
24.2,68.2
23.1,74.5
16.9,79.7
10.4,80.4
12.1,77.7
20.4,69.7
18.2,68.6
13.4,73
11.9,70.7
12.7,72.3
28.8,76.7
27.2,78.7
20.8,74.7
20.7,77.4
9.2,83.5
13,82
13.2,81.1
17.7,76.8
30.2,76.9
36.7,74.6
38.4,74.4
34.3,48.6
22.2,57.1
17.8,61.8
8.6,62.7
16,53.8
10.3,53.5
9.4,58
12.1,62.9
11.5,66.1
16.4,65.3
45.2,54.2
30.8,53.8
24.8,59
24.6,63.2
22.2,66.9
20.9,60.5
20,64.6
25.4,59.6
16.3,53.7
12,58.4
14.8,66.3
16.7,72.5
15.6,73.5
27.3,67.9
27.5,69.6
30.6,63.5
