nitrogen,humidity
18.6,22.2
4.8,23
5.1,19.8
8.5,22.3
4.2,20.3
12.6,13.1
14.2,11.3
10.2,9.2
13.5,8.5
13.4,6.3
5.7,23.7
12.6,27.3
11.6,18.7
5.4,19.5
5.5,28.5
5.1,33.2
0.3,39.2
2.8,58.4
2.9,37.9
4.3,33.1
3.7,56.8
1.4,44
3.8,17.6
8.5,16.7
3.8,24.6
3.4,24.6
4.9,16.4
5.2,15.1
7.1,13
8.7,22.9
4.1,29
7.6,30.3
9.5,25.7
6.6,24.2
9.2,18.2
11.4,17
4.1,36.4
6.6,42.1
6.5,49.6
9.7,39.7
8.3,31
13.8,33.5
8.6,44
7.4,52.6
5.9,47.9
6.8,39.9
7.7,54
10.9,28
7.7,23.6
10.6,21.7
6.6,35.2
5.1,40.4
6.1,41.5
7.1,53.2
8.6,55
10.1,43.3
11.8,40.6
6.8,41.5
4.9,49.5
4,65.3
4.7,59.4
6.3,38.7
6.8,30.9
4.5,28.3
4.3,26.5
2.6,34.9
8.5,20.7
4.9,12.3
9.1,13.3
5.5,10.7
17.1,7.2
20.5,6.9
13.3,4.6
4.9,4.9
5.9,30.3
7,26.5
6.3,22.4
9.6,17
5.9,13.8
2.7,30.5
6.1,39.3
10.1,35.9
5.2,13.9
7.8,10.9
4,32
4.2,28.1
-0.1,22.5
3.2,23.3
3,28.5
5.6,35.1
4.5,32.8
1.4,47
9.4,45.8
4.3,53.8
4.1,47.7
7.8,53.8
7.9,64.1
9.1,42.8
13.7,49.7
10.8,44.8
2.9,55.2
3.8,42.2
7,29.7
6.5,35.6
5.6,35.6
1.3,44.2
3.8,38.5
3.9,31.8
2.7,42.5
5.3,45.3
19.3,24.9
7.7,38.7
7,46.6
10.8,58.3
11.6,43.7
4.8,49.6
6.6,54.7
10.2,54.8
3.1,47.1
5.8,35.5
11.3,27.3
11.6,26
12.2,7.1
9.9,8.6
11.1,34.1
4.6,15.5
8.2,13.4
7.8,13.6
2.5,20.6
9.3,7.5
18,6
4.8,20
6.6,21
7.6,26.7
4.6,60.9
6.2,18
6.2,12.4
7.3,25.3
7.3,15.5
3.6,8.2
7.8,18
8.9,18.8
5.6,14.3
4,30.3
3.6,31.6
10.1,16.5
5.5,19
3.4,28.7
3.4,36.6
4.6,43.3
4.9,48.2
8.2,48.2
7.7,49.1
6,50.9
8.2,41.2
14.3,42.4
10.3,25.5
9.7,20.6
5.5,22.4
11.9,14.4
4.4,22.5
4.1,31.9
5.9,24.6
6.4,28.5
3.4,38.3
5.3,32.3
6.8,23
5.8,25.3
5.5,30.9
5.3,23.8
9.9,21.4
3.8,35.8
6.7,44.9
3.7,52
10,31.4
8.3,34
1.8,39.9
6.3,47.5
5.1,43
4.2,33.9
2.7,37.2
3.1,37
1.9,52.8
1,45.6
3.3,40.4
6,31.9
11.1,19.3
11.9,24.3
6.8,31.1
4.3,31.6
4.9,22.9
4.1,13.1
8.7,11
8.4,16.7
7.2,9.4
4.8,7.8
5.5,9
3.8,8.2
13.6,13.6
7.5,19.5
5.1,21.6
4.3,27.7
2.2,21.5
5.3,21.7
4.9,16.1
2.7,17.8
1.5,20.5
2.6,35.6
5.7,29.9
12.9,17.4
3.4,25
4.4,23.5
9.5,18.6
6.2,24.1
6.3,34
5.8,26.2
5.4,23.9
4.5,33.2
4.6,46.3
7.8,29.7
10.1,15.6
4.9,17.8
3.4,35.8
5,31
3.1,32.8
3.5,34.3
7.3,23.8
2,25.4
5.1,23.7
3.8,28.9
4.4,28.6
2.4,39.9
2.8,34.6
2.8,52.1
2.6,31.9
4.1,24
4.7,31.6
6.7,34.8
3.2,29.4
1.6,23.5
5.6,19.1
6.7,24.3
3.6,27.6
6.2,37.1
8,39.4
6.2,28.3
5.3,29.8
1.4,36.5
4.4,44.8
6.1,35.3
5.4,25.6
7,24.6
8.9,19.6
16.4,16.2
8,16
4.3,15.6
5.1,18.3
10.1,7.1
17.3,8.7
5.1,24.6
6,38.1
9.2,30.5
6.5,16.8
7.7,20
6.1,17.3
7.8,9.6
7.5,10.3
8.6,9.7
6.8,7.9
5.8,19.5
4.9,24.1
10.2,25.2
8.5,19.3
7.1,21.5
3.9,27.2
5.4,24.2
10.1,19.6
5.9,27.8
5.5,23.6
5.2,23.2
5.7,24.5
8.9,22.3
8.4,17.5
11.1,14.5
11.5,13.4
10.1,16.6
3.5,25.4
6.8,31.8
6.5,35.2
7.1,37.8
8.3,45
7.4,62.5
6.3,53.6
7.2,33.6
9.1,27.2
12.5,23.8
19,19.6
3.7,26.5
4.5,27.8
8.4,27.2
10.3,20.6
8,19.9
13.4,23.4
10.7,25.4
10,26.4
9.9,18.7
8.9,17.6
8.1,15
12.1,15
9.2,14.3
9,12.9
7.9,26.5
9.7,25.2
21.2,18.5
14.3,15.8
13.9,18.1
7,21.6
10.3,21
11.3,20
11.6,19.5
24.3,15.3
10.5,19
3.9,37.2
4.5,38.4
7.5,31.3
7.8,25.7
11.9,25.5
9.8,19
6.7,9.8
8.8,10.7
18.3,9
11.2,7.9
17.4,7.3
13.3,10.7
7.7,14.4
4.4,23.3
6.7,16.9
10.2,16.9
15.4,15
18.2,10.7
4.4,21
5.6,32.1
6.5,21.3
7,23.6
6.8,21.8
7.5,12.8
4.1,73
4.3,70.7
10,72.1
7.5,59.3
10.2,57.2
10,49.1
7.1,46.6
6.9,47.9
5.9,44.6
8.2,34.8
9.7,26.7
7.3,25.3
8.6,34.6
11.7,25.8
7.7,31.3
5.7,37.6
6,38.1
10.9,55
6,39.1
6.8,29.9
10.6,25.1
8.9,44.3
6.6,53.8
8.4,43.6
12.7,34.5
10.6,31.2
5.3,36
6.9,32.5
6.1,36.6
4.4,47.6
6.3,40
5.1,30.1
5.5,26.5
16.1,28.9
14,23.1
6.7,32.8
8.6,44.8
5,57.8
5.8,58.9
7,70
4.7,71.1
9.4,65.5
10.4,54.9
5.4,48.5
8.3,42.1
10.8,34
9.3,44
7.5,35
10.5,35.2
12.3,28.1
5.2,31.5
7,32.7
4.3,30.5
5.7,42.8
7.7,47.8
