nitrogen,ozone
18.6,39
4.8,46
5.1,50
8.5,44
4.2,45
12.6,32
14.2,31
10.2,37
13.5,36
13.4,46
5.7,43
12.6,42
11.6,37
5.4,55
5.5,51
5.1,49
0.3,42
2.8,28
2.9,34
4.3,36
3.7,34
1.4,43
3.8,42
8.5,37
3.8,43
3.4,45
4.9,35
5.2,33
7.1,33
8.7,45
4.1,47
7.6,47
9.5,35
6.6,33
9.2,35
11.4,41
4.1,40
6.6,41
6.5,41
9.7,44
8.3,48
13.8,43
8.6,41
7.4,39
5.9,38
6.8,39
7.7,41
10.9,30
7.7,52
10.6,39
6.6,38
5.1,38
6.1,34
7.1,41
8.6,33
10.1,31
11.8,35
6.8,41
4.9,43
4,31
4.7,29
6.3,47
6.8,50
4.5,47
4.3,59
2.6,47
8.5,40
4.9,39
9.1,30
5.5,34
17.1,33
20.5,30
13.3,39
4.9,50
5.9,49
7,41
6.3,38
9.6,42
5.9,48
2.7,52
6.1,48
10.1,53
5.2,39
7.8,37
4,36
4.2,36
-0.1,43
3.2,52
3,49
5.6,54
4.5,39
1.4,30
9.4,38
4.3,39
4.1,41
7.8,39
7.9,36
9.1,34
13.7,34
10.8,44
2.9,40
3.8,47
7,53
6.5,42
5.6,46
1.3,44
3.8,41
3.9,37
2.7,34
5.3,39
19.3,35
7.7,38
7,37
10.8,30
11.6,29
4.8,37
6.6,44
10.2,34
3.1,45
5.8,47
11.3,43
11.6,44
12.2,28
9.9,34
11.1,53
4.6,39
8.2,37
7.8,42
2.5,44
9.3,35
18,33
4.8,41
6.6,40
7.6,35
4.6,35
6.2,44
6.2,46
7.3,50
7.3,40
3.6,45
7.8,48
8.9,47
5.6,43
4,41
3.6,41
10.1,39
5.5,44
3.4,45
3.4,40
4.6,49
4.9,40
8.2,35
7.7,39
6,45
8.2,47
14.3,32
10.3,33
9.7,40
5.5,51
11.9,40
4.4,54
4.1,55
5.9,58
6.4,46
3.4,49
5.3,47
6.8,51
5.8,57
5.5,66
5.3,36
9.9,28
3.8,36
6.7,36
3.7,43
10,39
8.3,39
1.8,43
6.3,46
5.1,40
4.2,42
2.7,43
3.1,40
1.9,43
1,44
3.3,40
6,38
11.1,48
11.9,33
6.8,42
4.3,50
4.9,37
4.1,38
8.7,34
8.4,37
7.2,41
4.8,41
5.5,37
3.8,45
13.6,35
7.5,40
5.1,45
4.3,40
2.2,37
5.3,34
4.9,30
2.7,32
1.5,39
2.6,40
5.7,39
12.9,34
3.4,45
4.4,46
9.5,42
6.2,48
6.3,51
5.8,46
5.4,50
4.5,47
4.6,51
7.8,54
10.1,58
4.9,50
3.4,38
5,48
3.1,44
3.5,39
7.3,50
2,59
5.1,47
3.8,55
4.4,53
2.4,47
2.8,56
2.8,34
2.6,36
4.1,42
4.7,48
6.7,43
3.2,40
1.6,44
5.6,41
6.7,43
3.6,42
6.2,36
8,41
6.2,45
5.3,47
1.4,43
4.4,34
6.1,47
5.4,46
7,45
8.9,38
16.4,38
8,46
4.3,35
5.1,45
10.1,37
17.3,44
5.1,45
6,41
9.2,53
6.5,46
7.7,43
6.1,37
7.8,36
7.5,38
8.6,45
6.8,45
5.8,53
4.9,50
10.2,43
8.5,45
7.1,34
3.9,31
5.4,30
10.1,33
5.9,33
5.5,39
5.2,45
5.7,52
8.9,43
8.4,35
11.1,37
11.5,39
10.1,51
3.5,44
6.8,48
6.5,40
7.1,41
8.3,44
7.4,55
6.3,36
7.2,35
9.1,33
12.5,35
19,47
3.7,65
4.5,48
8.4,43
10.3,42
8,43
13.4,40
10.7,52
10,39
9.9,44
8.9,43
8.1,41
12.1,43
9.2,40
9,38
7.9,46
9.7,40
21.2,36
14.3,47
13.9,56
7,46
10.3,40
11.3,43
11.6,36
24.3,48
10.5,36
3.9,51
4.5,46
7.5,45
7.8,43
11.9,38
9.8,33
6.7,29
8.8,26
18.3,34
11.2,27
17.4,37
13.3,41
7.7,51
4.4,48
6.7,44
10.2,40
15.4,39
18.2,47
4.4,56
5.6,45
6.5,43
7,43
6.8,39
7.5,40
4.1,34
4.3,27
10,34
7.5,26
10.2,43
10,47
7.1,54
6.9,45
5.9,46
8.2,55
9.7,50
7.3,38
8.6,30
11.7,43
7.7,50
5.7,48
6,35
10.9,53
6,59
6.8,55
10.6,53
8.9,48
6.6,44
8.4,51
12.7,42
10.6,46
5.3,41
6.9,44
6.1,50
4.4,60
6.3,60
5.1,61
5.5,46
16.1,34
14,40
6.7,38
8.6,41
5,38
5.8,37
7,35
4.7,33
9.4,34
10.4,32
5.4,25
8.3,25
10.8,35
9.3,32
7.5,38
10.5,31
12.3,33
5.2,35
7,46
4.3,36
5.7,31
7.7,
