pm25,pm10
8.5,22.9
10.1,33.7
9.9,26.8
13.4,39.4
12.8,38.5
7.8,32.2
10,43.2
12,47.3
8.5,22.4
8.5,23.6
11.2,38
13.4,80.2
7.9,20.3
9.3,24.3
10.7,22.5
10.6,28.2
8.8,26.6
8.8,30.8
9.8,34.6
7,20.6
9.3,29.9
18.1,93.5
14.5,78
8.8,28.3
7.8,25
9.1,25.9
9.9,23.1
11.4,28
22.5,110.4
10.3,30.6
8.5,23.7
6.5,18
6,14.8
8.4,20.5
12,30.4
10.7,26.7
11.5,27.1
12,42.3
7.5,25.8
7.1,21.9
10.1,56
3.5,13
6,20
5.4,20.2
8.1,28.8
14.5,77.7
7,31
5.6,19.5
7.3,26.2
6.7,22.7
6.9,23.9
7.6,24.9
9.5,40.8
6.8,20.9
8.6,30.3
18.8,94.1
10.3,47.5
8.6,31.6
10.9,43.8
7.7,29.3
6.4,22.5
9.2,44.1
6.4,19.8
7.6,23.4
6.3,26.7
16.3,79
9.3,35.4
8,32.7
7.7,25.9
7,23.8
7.6,25.2
11.1,32.5
11.7,30.3
8.7,31.9
7.9,34.5
15.1,82.1
7.4,36.5
5,18.8
6.8,23.3
8,27.3
6.6,21.4
8.9,40.6
9.6,40.4
11.6,47.9
11.5,52.1
10.6,47.4
10.5,28.5
12.1,36.1
10.4,33
9.3,27.5
6.6,20.3
5.8,22
3.9,21.5
4.7,22.5
9.4,30.7
9.2,28.1
7,30.3
7.4,30.8
15.8,47.9
12.8,51.5
10.2,45.8
10.5,38.5
7.6,34.6
7.8,36.1
7.1,30.7
7.4,31.9
6.7,30.3
7.3,27.7
12.3,45
8.8,30.6
9.2,35
8.4,28.3
8.4,34.5
19.2,48.2
13.4,26.1
17.6,34.8
17.1,38.6
10.2,26.7
14.2,25.3
14.1,28.4
11.1,32.8
9.5,32.7
6.2,25.4
6.3,27.2
5.7,23.5
6.3,23.7
6.5,25.3
7.2,33.1
6.8,29.7
6.3,25.4
5.1,24
5.9,29
4.3,21.1
9,45.9
21.3,107.9
4.5,22.6
9.4,48.3
10.1,53.2
4.6,16.1
3.3,14.3
4.8,20.1
5,25.4
4.1,30.2
5.2,26
7.2,36.8
4.6,22
6.2,27.7
5.8,25.8
4.8,20.7
5.8,24
4,21.4
6,26.4
5.1,20.1
5.3,26.8
18.4,115.3
5.1,25.2
5.9,28.6
4.2,20.5
4.6,20.9
9,24
7,26.4
7.4,29.7
6,26.1
8.5,43.1
9,41
7.4,24.9
5.8,27.8
8.2,25.5
13.4,50.4
13.3,27.1
5.7,21.8
10.5,38.7
11.1,40.3
6.1,29.8
8.2,39.6
4.6,24.7
7.7,35.2
9.5,38.5
6.4,27.8
5.7,22.9
6.3,22.7
5.9,22.7
7.2,28.4
9.4,32
13.7,91.6
6.9,24.3
6.1,24.3
8.7,49.1
4.7,19.2
6.4,24.4
10.5,37.6
7.6,27.3
7.9,36.9
9.5,43.8
8.9,48.1
6.9,28.2
5.8,21.3
5.7,23
7.3,25.4
8.1,28
6.4,24
6.2,23.1
6.7,29.6
9.6,35
12,57
8.1,35.2
7.1,33.1
8.1,36.1
10.1,47.1
8.9,33.5
13.5,42.2
9.4,37.1
17.5,100.3
19.2,128
5.4,23.4
8.3,30.1
9.9,33.8
14.3,58.1
11.1,40.9
13.9,66.8
21.6,42.5
6.5,21.1
9,29.5
9.3,29.9
11,34
10,34
8.9,39.4
9.7,35.7
11.4,33.7
7.1,25.9
7.7,30.9
20.6,114.2
7,25.5
6.5,26.9
6.2,26.1
6.1,22.6
9.5,35.3
7.1,29.9
7.1,29.2
7.7,32.1
7.7,40.9
7.9,30.4
6.6,22.3
7.5,28.1
6.6,28.8
6.8,29
9.7,35.9
16.6,43.9
7.6,29.2
12.7,49.1
8.2,30.6
7.6,25.2
8,27
6.8,25
7.3,30.1
8.9,36.2
5.8,24.4
6.7,26.2
6.7,28.8
8.2,29.7
8.1,27.8
6.2,22.7
7.8,35.3
6.6,24.6
7,28.3
5.6,25.7
6.3,32.1
8.3,47.1
25.2,123.5
6.5,24.4
8.1,27.5
6.7,29.4
11.4,43.6
11.7,89.8
6.2,44.1
7.7,41.8
5.6,19.3
5.3,17.4
5.3,20
8.8,30.8
11,38.8
11.7,27.9
7.5,24.4
6.2,33.7
7,22
10.6,27.9
13.1,31.3
13.4,28
11.1,26.1
12.4,40.5
11,31.8
9.9,27.4
9.8,26.7
10.7,39.8
7.2,30
9.5,40.6
5.3,23.6
5.4,21.6
5.4,24.8
6.3,55.4
34.6,199.7
6.4,39.3
8.1,32.4
6.6,23.6
5.7,23.8
10.6,33.4
6.1,29.4
10.8,33.5
7.8,20.1
5.8,24.8
9.6,35.1
7.1,24.6
8,30.7
4.7,19.7
4.4,17.1
6.1,23.2
7.6,31.9
7.8,28.5
6.5,25.6
6,26.7
7.7,34.9
4.7,26.4
5.8,29.2
6.5,27.6
6.1,24.2
5.9,27.7
7.6,37.5
5.3,27.2
6.6,35.5
6.7,27.5
6.5,17.8
5.3,18.7
6,20.6
8.7,27.9
7.4,25.4
7.8,30
11.4,65.6
6.4,32.9
6.6,26.8
22.2,128.5
10.1,52.4
17.5,65
11,45.3
7.9,32
5.8,24.3
22.6,99.5
11.8,48
8.8,25.5
5.7,25.6
15.1,38.1
11.7,29
3.6,16.5
4.9,27.3
3.5,13.9
9.8,21.9
3.2,20.6
4.9,24.7
2.3,9.1
5,20
5.4,24.2
4.5,25.1
2.5,11.6
3.7,13.6
6.6,25.5
8,27.2
5.9,25.8
5.3,26.4
5.5,16.1
4.3,11.5
5.1,23.1
4.3,18.8
5.7,20.7
5.5,31.8
3.6,16.6
3.6,17.4
5.4,30.6
13.9,109.7
5.5,17.1
7,22
5.2,16.3
7.3,25.8
5.7,23
3.4,19.1
