pm25,sulfur
6.7,0.5
7.4,0.6
11.2,1.2
8,0.9
7.2,0.6
8.6,0.7
9.6,0.8
8.8,1
8.4,0.8
12,0.8
7.6,0.7
7.6,0.7
8.6,0.8
7.1,0.9
7.4,1
6.5,1
6.6,0.9
8.5,0.9
10.3,0.7
7.6,0.5
11.9,0.9
12.2,1.1
13,0.9
14.5,0.8
9.2,0.7
8.3,0.6
7.5,0.5
6.8,0.5
7.2,0.6
9.6,0.6
6.5,0.6
5.3,0.5
6.1,0.3
7.4,0.4
9.3,0.6
8.2,0.4
10.4,0.6
6.5,0.5
9.7,0.5
6.8,0.7
6.5,0.7
6.8,0.6
6.7,0.7
13.1,0.9
10.9,0.5
10.4,0.4
9.7,0.5
8.8,0.7
6.4,0.6
6.8,0.8
8.1,1
21.7,0.9
10.9,1.4
7,1.4
7.2,0.7
8.2,1.1
7,0.6
6.1,0.7
5.8,0.8
7.8,0.9
7.9,0.9
8.3,0.8
10.5,1
6.5,0.9
4.6,0.9
4.6,0.6
6.2,0.8
5.8,0.7
5.7,0.6
7.3,0.8
6.9,0.8
6.6,0.7
7.5,0.8
5.9,0.8
7.2,0.8
5.5,0.4
7,0.5
6.6,0.4
7.6,0.5
8.3,0.5
6.8,0.5
7.6,0.4
5.9,0.4
7.4,0.5
6.6,0.4
6.5,0.4
8.6,0.3
6.9,0.2
12.1,0.5
16.9,0.7
6.3,0.5
4.6,0.5
7.8,0.6
11.3,0.6
10.4,0
9.5,0.1
5.8,0.1
7.7,0.3
8.8,0.4
8.7,0.1
9.2,0.2
10.5,0.6
10.7,0.5
9,0.5
8,0.6
9.7,0.6
13.3,0.5
11.4,0.4
12.2,0.3
9.4,0.4
8,0.6
7.5,0.6
9.7,0.6
9.1,0.6
12.9,0.6
9,0.8
10.2,0.4
12.3,0.4
9.4,0.3
6,0.2
5.9,0.1
4.7,0.2
3.8,0.2
3.9,0.3
7,0.9
6.7,0.1
6.8,0.2
7.5,0.2
7.7,0.5
4.7,1.3
8.7,1.5
7.2,1.2
5.9,1.3
7.4,1.4
7.3,1.5
5.1,1.2
4.7,1.2
5.1,1
4.6,1.1
6,1
9.1,1.2
6.4,0.9
5.5,1.1
4.8,1.3
7.1,1.4
8,1.2
6.2,1.1
5.4,1.5
7.4,1.3
7.2,1.3
6.8,0.9
9.2,1.1
10.5,1.3
8.6,1.5
9.8,1.6
