radiation,humidity
0.362,16.3
0.362,14.9
0.336,14.6
0.342,13.6
0.268,12
0.243,8.7
0.316,15.6
0.234,40.7
0.357,38.5
0.387,29.2
0.377,26.4
0.374,17.6
0.395,18.7
0.377,16.3
0.398,18.1
0.398,13.8
0.403,12.7
0.41,12.9
0.4,37.6
0.397,32.3
0.41,22.8
0.389,10.8
0.397,12.2
0.422,11.4
0.425,10.8
0.426,10.1
0.427,19
0.396,17.3
0.374,16.6
0.342,27.9
0.375,25.3
0.305,40.1
0.443,33.9
0.449,18.9
0.449,12.8
0.434,10.3
0.361,7.3
0.173,12.2
0.359,35.4
0.458,36.9
0.446,21.9
0.465,32.4
0.306,46
0.466,38.1
0.468,20.3
0.435,14.4
0.459,16.8
0.475,21.9
0.412,30.5
0.477,27.5
0.485,12.5
0.478,13.6
0.386,35.4
0.459,33.4
0.487,16.5
0.472,16.2
0.482,16.5
0.49,14.8
0.491,12.5
0.492,19.6
0.493,19
0.484,34.4
0.493,36.9
0.494,22.5
0.501,17.5
0.468,12.1
0.492,10
0.506,11.1
0.508,11.7
0.511,19.5
0.517,14.8
0.519,11.4
0.463,23.3
0.491,35.6
0.35,39.9
0.436,28.9
0.445,17.2
0.422,29.2
0.338,50.5
0.463,42.6
0.51,20.4
0.514,9.6
0.486,9.9
0.506,9.5
0.474,9
0.51,10.1
0.5,12
0.515,12.5
0.523,9
0.481,9.2
0.36,27.4
0.404,41.7
0.327,30.1
0.326,20
0.217,20.8
0.328,22.1
0.304,27.9
0.341,27
0.35,17.6
0.335,15.3
0.311,16.8
0.349,16
0.335,25.7
0.344,39.5
0.356,21.9
0.362,22.2
0.356,13.8
0.344,12
0.369,14.8
0.363,13.8
0.366,17.6
0.359,16.2
0.37,16
0.38,11.4
0.327,15.8
0.385,24.1
0.371,15.8
0.386,18.5
0.389,15.9
0.332,32.3
0.273,37.7
0.402,23.8
0.317,11.7
0.279,23.8
0.408,28.2
0.412,20.6
0.415,16.1
0.418,16.4
0.335,14.9
