radiation,sulfur
0.423,0.5
0.513,0.6
0.524,1.2
0.5,0.9
0.503,0.6
0.507,0.7
0.429,0.8
0.46,1
0.459,0.8
0.494,0.8
0.379,0.7
0.508,0.7
0.501,0.8
0.531,0.9
0.521,1
0.531,1
0.528,0.9
0.525,0.9
0.411,0.7
0.515,0.5
0.507,0.9
0.497,1.1
0.48,0.9
0.465,0.8
0.496,0.7
0.513,0.6
0.474,0.5
0.27,0.5
0.494,0.6
0.442,0.6
0.231,0.6
0.503,0.5
0.518,0.3
0.52,0.4
0.48,0.6
0.507,0.4
0.513,0.6
0.477,0.5
0.509,0.5
0.501,0.7
0.498,0.8
0.514,0.7
0.52,0.6
0.51,0.7
0.434,0.9
0.487,0.5
0.491,0.4
0.412,0.5
0.496,0.7
0.488,0.6
0.499,0.8
0.495,1
0.5,0.9
0.479,1.4
0.471,1.4
0.412,0.7
0.367,1.1
0.424,0.6
0.427,0.7
0.455,0.8
0.416,0.9
0.427,0.9
0.429,0.8
0.403,1
0.294,0.9
0.318,0.9
0.4,0.6
0.415,0.8
0.284,0.7
0.39,0.6
0.453,0.8
0.452,0.8
0.453,0.7
0.447,0.8
0.422,0.8
0.185,0.8
0.358,0.4
0.384,0.5
0.323,0.4
0.384,0.5
0.348,0.5
0.416,0.5
0.328,0.4
0.424,0.4
0.393,0.5
0.203,0.4
0.288,0.4
0.462,0.3
0.399,0.2
0.471,0.5
0.487,0.7
0.445,0.7
0.443,0.5
0.463,0.5
0.475,0.6
0.475,0.6
0.474,0
0.492,0.1
0.499,0.1
0.498,0.3
0.47,0.4
0.494,0.1
0.493,0.2
0.482,0.6
0.426,0.5
0.462,0.5
0.449,0.6
0.469,0.6
0.463,0.5
0.453,0.4
0.439,0.3
0.445,0.4
0.467,0.6
0.48,0.6
0.48,0.6
0.485,0.6
0.448,0.6
0.465,0.8
0.426,0.4
0.477,0.4
0.447,0.3
0.455,0.2
0.443,0.1
0.477,0.2
0.444,0.2
0.432,0.3
0.481,0.4
0.472,0.4
0.448,0.4
0.284,0.3
0.249,0.3
0.399,0.4
0.429,0.6
0.398,0.5
0.384,0.4
0.428,0.4
0.342,0.5
0.328,0.6
0.387,0.8
0.379,0.9
0.465,0.8
0.385,0.8
0.239,0.9
0.448,0.9
0.452,0.1
0.437,0.2
0.446,0.2
0.451,0.5
0.427,1.3
0.42,1.5
0.443,1.2
0.444,1.3
0.434,1.4
0.378,1.5
0.412,1.2
0.424,1.2
0.433,1
0.416,1.1
0.438,1
0.387,1.2
0.422,0.9
0.258,1.1
0.209,1.3
0.366,1.4
0.424,1.2
0.372,1.1
0.38,1.5
0.342,1.3
0.367,1.3
0.4,0.9
0.414,1.1
0.364,1.3
0.416,1.5
0.406,1.6
