sulfur,nitrogen
1.2,18.6
0.9,4.8
0.8,5.1
1,8.5
0.8,4.2
0.9,12.6
1,14.2
1,10.2
0.9,13.5
0.9,13.4
0.5,5.7
0.9,12.6
1.1,11.6
0.9,5.4
0.8,5.5
0.7,5.1
0.5,0.3
0.5,2.8
0.6,2.9
0.6,4.3
0.6,3.7
0.5,1.4
0.4,3.8
0.6,8.5
0.5,3.8
0.5,3.4
0.8,4.9
0.7,5.2
0.6,7.1
0.9,8.7
0.4,4.1
0.5,7.6
0.7,9.5
0.6,6.6
0.8,9.2
1,11.4
1.4,4.1
1.1,6.6
0.6,6.5
0.9,9.7
0.9,8.3
1,13.8
0.9,8.6
0.9,7.4
0.6,5.9
0.8,6.8
0.7,7.7
0.8,10.9
0.8,7.7
0.7,10.6
0.8,6.6
0.8,5.1
0.8,6.1
0.5,7.1
0.4,8.6
0.5,10.1
0.5,11.8
0.5,6.8
0.4,4.9
0.4,4
0.4,4.7
0.3,6.8
0.2,4.5
0.7,4.3
0.5,2.6
0.6,8.5
0.6,4.9
0.1,9.1
0.1,5.5
0.3,17.1
0.4,20.5
0.1,13.3
0.2,4.9
0.5,5.9
0.5,7
0.6,6.3
0.6,9.6
0.5,5.9
0.4,2.7
0.4,6.1
0.6,10.1
0.6,5.2
0.6,7.8
0.1,4
0.2,4.2
0.2,-0.1
0.3,3.2
0.4,3
0.4,5.6
0.4,4.5
0.3,1.4
0.5,9.4
0.4,4.3
0.4,4.1
0.5,7.8
0.6,7.9
0.8,9.1
0.9,13.7
0.9,10.8
0.1,3.8
0.2,7
0.5,6.5
1.5,5.6
1.2,1.3
1.3,3.8
1.4,3.9
1.5,2.7
1.1,5.3
1.2,19.3
0.9,7.7
1.1,7
1.4,10.8
1.2,11.6
1.1,4.8
1.5,6.6
1.3,10.2
1.3,3.1
1.3,5.8
1.5,11.3
1.6,11.6
