temp,nitrogen
82.6,18.6
84,4.8
86.9,5.1
85.5,8.5
86.8,4.2
84.6,12.6
87.5,14.2
87.1,10.2
87.9,13.5
91.6,13.4
85.8,5.7
86.9,12.6
92.4,11.6
91.4,5.4
87.3,5.5
83.6,5.1
82.9,0.3
76.1,2.8
83.2,2.9
83.9,4.3
76.3,3.7
81.7,1.4
91.3,3.8
90.3,8.5
89.3,3.8
89.4,3.4
92.1,4.9
91.3,5.2
92.3,7.1
89.1,8.7
87,4.1
86.3,7.6
88.9,9.5
90.2,6.6
91.8,9.2
92.6,11.4
84.6,4.1
81.8,6.6
80.2,6.5
84.2,9.7
86.6,8.3
85.4,13.8
80.6,8.6
79.1,7.4
82.3,5.9
84.6,6.8
76.1,7.7
79.4,10.9
81.9,7.7
82.5,10.6
81.4,6.6
81.3,5.1
78.2,6.1
77,7.1
76.6,8.6
78.7,10.1
76.8,11.8
77.8,6.8
77.5,4.9
72.1,4
74.9,4.7
74.8,6.3
77.1,6.8
80,4.5
84.9,4.3
80.4,2.6
86.2,8.5
88.6,4.9
84.3,9.1
84.7,5.5
86,17.1
88.7,20.5
88.9,13.3
89.7,4.9
89,5.9
91.1,7
90.7,6.3
94.3,9.6
95.4,5.9
85.3,2.7
81.6,6.1
83,10.1
89.2,5.2
89.9,7.8
83.6,4
86,4.2
87.5,-0.1
87.7,3.2
87.1,3
83.4,5.6
85.4,4.5
78.8,1.4
80.9,9.4
77.1,4.3
78.9,4.1
78.2,7.8
76.2,7.9
85.1,9.1
79.7,13.7
81.1,10.8
77.7,2.9
80.9,3.8
83.9,7
84,6.5
85,5.6
83,1.3
84.5,3.8
86.9,3.9
83,2.7
79.5,5.3
84.7,19.3
82.9,7.7
78.4,7
77.1,10.8
83.2,11.6
79.4,4.8
74.9,6.6
77.1,10.2
80,3.1
79.8,5.8
79,11.3
79.4,11.6
87.9,12.2
89.2,9.9
81.5,11.1
89.1,4.6
90.1,8.2
89.8,7.8
86.1,2.5
88.8,9.3
90.9,18
88.6,4.8
87.1,6.6
85.2,7.6
73.4,4.6
88.9,6.2
89.2,6.2
90.4,7.3
92.6,7.3
91.7,3.6
87.8,7.8
91.4,8.9
91.4,5.6
82.4,4
80.4,3.6
89.3,10.1
89.3,5.5
86.4,3.4
82.4,3.4
79.5,4.6
78.7,4.9
78.7,8.2
78.6,7.7
78.8,6
81.5,8.2
82.2,14.3
88.3,10.3
91.9,9.7
90.4,5.5
93.6,11.9
90.1,4.4
87.1,4.1
86.5,5.9
87.6,6.4
82.7,3.4
85.9,5.3
89.3,6.8
88.8,5.8
87.4,5.5
87,5.3
88.9,9.9
84.1,3.8
78.5,6.7
75.4,3.7
85.4,10
84.6,8.3
83.3,1.8
81.2,6.3
83.3,5.1
86.2,4.2
84,2.7
82.9,3.1
77.8,1.9
80.3,1
82.2,3.3
86,6
88,11.1
87.3,11.9
81.4,6.8
84,4.3
85.6,4.9
84.4,4.1
85.3,8.7
84.2,8.4
84.9,7.2
85.1,4.8
84.6,5.5
82.6,3.8
85.9,13.6
88,7.5
89.5,5.1
87.7,4.3
87.6,2.2
87.3,5.3
88.2,4.9
88.4,2.7
88.4,1.5
81.1,2.6
83.9,5.7
90.7,12.9
86.6,3.4
88.1,4.4
90.5,9.5
88.8,6.2
86.7,6.3
88.6,5.8
90.5,5.4
83.7,4.5
79.6,4.6
82.8,7.8
88.4,10.1
89.4,4.9
84,3.4
86.6,5
86,3.1
86.6,3.5
90.5,7.3
90.5,2
90.7,5.1
88.3,3.8
89.1,4.4
