temp,pm25
65.2,8.5
68.4,10.1
67,9.9
66.9,13.4
65.9,12.8
69,7.8
60.6,10
52.2,12
55.2,8.5
59.9,8.5
61.9,11.2
63.4,13.4
61,7.9
65.3,9.3
65.1,10.7
65.4,10.6
65.7,8.8
66.9,8.8
53.3,9.8
54.6,7
64.5,9.3
70.8,18.1
61.1,14.5
56.5,8.8
62.4,7.8
66.2,9.1
61.7,9.9
66.5,11.4
68.4,22.5
59.9,10.3
55,8.5
50.6,6.5
52.5,6
60.3,8.4
67,12
73,10.7
69,11.5
68.4,12
67.8,7.5
67.8,7.1
66.9,10.1
62.4,3.5
59,6
63.8,5.4
71.4,8.1
73.4,14.5
60.9,7
60.6,5.6
65.1,7.3
65.7,6.7
71.8,6.9
75.1,7.6
72.7,9.5
72.7,6.8
73.1,8.6
73.4,18.8
66.5,10.3
65.7,8.6
71.7,10.9
63.8,7.7
66.2,6.4
59.5,9.2
58.6,6.4
69.3,7.6
78.5,6.3
80.2,16.3
71.9,9.3
68.7,8
68.5,7.7
72.9,7
76.5,7.6
75.3,11.1
78.7,11.7
73.6,8.7
77.2,7.9
78.8,15.1
70.9,7.4
62.4,5
66.3,6.8
77.2,8
79.1,6.6
78.7,8.9
79.3,9.6
78.1,11.6
78.6,11.5
74.6,10.6
70.8,10.5
77,12.1
81.8,10.4
78.7,9.3
73.5,6.6
54,5.8
54.5,3.9
57.3,4.7
62.6,9.4
65.9,9.2
64.7,7
59.2,7.4
63.2,15.8
65.9,12.8
67.9,10.2
68.6,10.5
62.8,7.6
64.1,7.8
68,7.1
70.8,7.4
71.3,6.7
71,7.3
73.2,12.3
76.3,8.8
75.5,9.2
76.2,8.4
76.4,8.4
66.8,32.7
59.7,6.8
65.8,7.2
64.7,7
67.8,6
58.8,8.6
57.4,4.2
65.6,4.6
68.6,43.2
56.5,15.2
58.8,7.2
65.4,8.5
64.1,19.2
58.8,13.4
65.2,17.6
71.2,17.1
74.1,10.2
70.5,14.2
68.7,14.1
72.5,11.1
73.4,9.5
71.2,6.2
75.7,6.3
74.1,5.7
73.6,6.3
74.5,6.5
75.8,7.2
76.6,6.8
77.1,6.3
74.8,5.1
65.7,5.9
67.7,4.3
78.1,9
74.8,21.3
67.8,4.5
75.4,9.4
74.5,10.1
52.1,4.6
60.1,3.3
70.7,4.8
75.6,5
68.9,4.1
76.6,5.2
80.5,7.2
78.4,4.6
74.8,6.2
67.1,5.8
61.3,4.8
68.2,5.8
74.5,4
79.7,6
80.4,5.1
77.7,5.3
69.7,18.4
68.6,5.1
73,5.9
70.7,4.2
72.3,4.6
76.7,9
78.7,7
74.7,7.4
77.4,6
83.5,8.5
82,9
81.1,7.4
76.8,5.8
76.9,8.2
74.6,13.4
74.4,13.3
48.6,5.7
57.1,10.5
61.8,11.1
62.7,6.1
53.8,8.2
53.5,4.6
58,7.7
62.9,9.5
66.1,6.4
65.3,5.7
54.2,6.3
53.8,5.9
59,7.2
63.2,9.4
66.9,13.7
60.5,6.9
64.6,6.1
59.6,8.7
53.7,4.7
58.4,6.4
66.3,10.5
72.5,7.6
73.5,7.9
67.9,9.5
69.6,8.9
63.5,6.9
59.1,5.8
55.7,5.7
63.2,7.3
66.7,8.1
70.3,6.4
73,6.2
71.3,6.7
69.2,9.6
64.1,12
71.1,8.1
72.9,7.1
73.5,8.1
76.9,10.1
73.3,8.9
68.1,13.5
77.8,9.4
77,17.5
60.3,19.2
56.7,5.4
64.9,8.3
72.6,9.9
73.4,14.3
68.1,11.1
70.6,13.9
67.1,21.6
63.3,6.5
66.5,9
73.7,9.3
77.6,11
65,10
69.8,8.9
66.4,9.7
73.6,11.4
78,7.1
75.2,7.7
71.7,20.6
65.7,7
69.6,6.5
74.1,6.2
78.4,6.1
82.4,9.5
85.7,7.1
85,7.1
86.1,7.7
84.2,7.7
81,7.9
79.4,6.6
79.7,7.5
82.1,6.6
82.7,6.8
84.6,9.7
78.6,16.6
76.6,7.6
77.8,12.7
77.1,8.2
79.5,7.6
80.7,8
82,6.8
84.2,7.3
86.4,8.9
84.5,5.8
81.6,6.7
83.4,6.7
85.8,8.2
87.4,8.1
63.4,6.2
65.3,7.8
64.1,6.6
45.9,7
48.8,5.6
58.9,6.3
68.6,8.3
63.2,25.2
53.7,6.5
58.6,8.1
62.4,6.7
58.3,11.4
49.9,11.7
50.7,6.2
47.8,7.7
44.6,5.6
53.4,5.3
55,5.3
56.9,8.8
58.3,11
60.7,11.7
61.9,7.5
59.8,6.2
64.4,7
65.9,10.6
70.8,13.1
72,13.4
72.3,11.1
69.4,12.4
58.9,11
50.9,9.9
55.3,9.8
65.1,10.7
65.5,7.2
65.6,9.5
64.4,5.3
68.2,5.4
73.4,5.4
77.8,6.3
70.5,34.6
57.6,6.4
55.2,8.1
54,6.6
62.2,5.7
72.3,10.6
72.2,6.1
60.2,10.8
65.6,7.8
71,5.8
76.4,9.6
74.9,7.1
68.6,8
64.6,4.7
65.6,4.4
74.4,6.1
79.4,7.6
79.3,7.8
78,6.5
76.6,6
72.3,7.7
73.8,4.7
75.5,5.8
75.6,6.5
78.5,6.1
77.3,5.9
71.5,7.6
66.9,5.3
67,6.6
58.3,6.7
62.9,6.5
63.3,5.3
65.3,6
74,8.7
79.1,7.4
81.6,7.8
75.1,11.4
69.9,6.4
74.6,6.6
68.2,22.2
64.9,10.1
76.1,17.5
74.3,11
74.4,7.9
80.7,5.8
80.2,22.6
77.3,11.8
72.4,8.8
73.7,5.7
75.1,15.1
77.5,11.7
59.4,3.6
59.1,4.9
50,3.5
53,9.8
57.9,3.2
63.4,4.9
57.7,2.3
58.4,5
62.2,5.4
65.3,4.5
62.7,2.5
61.6,3.7
60.4,6.6
63.3,8
64.6,5.9
63.1,5.3
54.2,5.5
54.4,4.3
56.2,5.1
60,4.3
62.5,5.7
66.3,5.5
63.1,3.6
68.8,3.6
71.6,5.4
61.4,13.9
51,5.5
59.1,7
62.2,5.2
63.6,7.3
71.8,5.7
69,3.4
66.3,4.4
65.1,4.8
66.9,4.8
68.7,4
67.3,3.6
69.5,4.1
70.2,3.3
66.5,4.3
62.7,3.5
59.2,6
64.4,5.1
61.1,3.6
61.2,5.4
68.5,4.6
69,5.4
69.4,5.4
66.2,4.2
69.5,5.1
72.5,5.4
68.2,4.8
71.3,4.8
75.8,5.1
72.7,7.1
78,5.7
80.1,5.8
79.4,5
75,8.1
78.3,8.1
83.3,7.3
81.9,7.1
81.8,7.3
81.1,5.4
75.7,8.9
85.2,4.8
71.7,8.6
74.7,8.2
74.9,7.6
75.4,5.9
77.8,4.8
77.6,4.8
75.5,4.6
77.4,4.5
78.6,4.9
83.2,5.5
85.3,8.2
84.9,5.8
78.1,4.6
75.1,4.3
77.5,5.3
78.7,4.4
77.5,4.9
73.7,5.8
74.9,6.4
84.1,8.1
86.6,7.7
82.7,4.6
82.2,3.9
81.2,4.6
46.3,8.6
47.1,9.4
55,7
58.9,10.5
65.5,11.1
68.6,12.3
63.4,8.8
62.1,7.4
66.3,7.3
51.3,12.6
48.6,9.8
57.5,6.6
56.7,54.8
52,6.2
57.4,9.1
61.7,7.1
66.1,9
67.9,8.6
58.3,9.2
56.1,10.8
48.2,8
52.2,5.5
59.8,6.1
55.5,8
59.5,8.5
66.1,8.2
70.8,12.2
59.6,15.1
60.5,10.3
70.3,10.6
72.7,11.2
72.7,9.9
75.5,6.9
73.5,6.6
70,4.5
73.1,4.6
72.8,7.1
70,10
72.1,6.1
74.6,6.3
66.5,10.7
68.8,9.6
72.2,9.4
66.2,5.9
54.6,9.3
52.9,4.1
60,4.3
66,7
59.1,5.6
65.4,10.1
66,6.8
69.5,7.3
76,5.2
75.7,13.1
69.2,12.9
59,3.3
51.5,3.6
61.6,3.6
69,5.4
77.2,14.9
72.1,8.2
66.8,6.8
79.3,16.1
80.2,11
77.6,12.9
76,8.1
77.3,7.4
77.1,7.5
68.1,7.2
71.3,9.8
76.8,8.5
78.8,8.3
78.6,6.4
75.5,8.8
72.7,7.4
77.4,9.7
81.7,8.2
79.5,7.7
83.4,14.1
80.1,6.5
79.3,6.6
79.9,8.8
82.1,10.5
82.1,9
82.5,7.1
83,11.3
81.4,10.1
79.5,9.2
