temp,sulfur
69.8,0.5
74.1,0.6
82.6,1.2
84,0.9
83.9,0.6
85.9,0.7
86.9,0.8
85.5,1
86.8,0.8
85.8,0.8
82,0.7
86.3,0.7
87,0.8
84.6,0.9
87.5,1
87.1,1
87.9,0.9
91.6,0.9
89.4,0.7
85.8,0.5
86.9,0.9
92.4,1.1
91.4,0.9
87.3,0.8
83.6,0.7
83.4,0.6
82.9,0.5
76.1,0.5
83.2,0.6
83.9,0.6
76.3,0.6
81.7,0.5
87.1,0.3
91.3,0.4
90.3,0.6
90,0.4
88.5,0.6
89.3,0.5
89.4,0.5
92.5,0.7
92.1,0.8
91.3,0.7
92.3,0.6
94.8,0.7
89.1,0.9
89.9,0.5
87,0.4
86.3,0.5
88.9,0.7
90.2,0.6
91.8,0.8
92.6,1
91.6,0.9
86.6,1.4
84.6,1.4
85,0.7
81.8,1.1
80.2,0.6
80.4,0.7
81.2,0.8
84.2,0.9
86.6,0.9
87,0.8
85.4,1
80.6,0.9
79.1,0.9
82.3,0.6
84.6,0.8
76.1,0.7
77.6,0.6
79.4,0.8
81.9,0.8
82.5,0.7
81.4,0.8
81.3,0.8
78.2,0.8
75.4,0.4
77,0.5
76.6,0.4
78.7,0.5
76.8,0.5
77.8,0.5
77.5,0.4
76.6,0.4
76.9,0.5
72.1,0.4
74.9,0.4
77.1,0.3
80,0.2
82.8,0.5
86.4,0.7
84.9,0.7
82.1,0.5
80.4,0.5
86.2,0.6
88.6,0.6
85.6,0
84.3,0.1
84.7,0.1
86,0.3
88.7,0.4
88.9,0.1
89.7,0.2
88.9,0.6
89,0.5
91.1,0.5
90.7,0.6
94.3,0.6
95.4,0.5
85.3,0.4
80.4,0.3
81.6,0.4
83,0.6
89.8,0.6
89.2,0.6
89.9,0.6
86.9,0.6
86.7,0.8
90.3,0.4
90.7,0.4
86.4,0.3
87.2,0.2
83.6,0.1
86,0.2
87.5,0.2
87.7,0.3
87.1,0.4
83.4,0.4
85.4,0.4
78.8,0.3
74.8,0.3
78.7,0.4
82.3,0.6
80.9,0.5
77.1,0.4
78.9,0.4
78.2,0.5
76.2,0.6
77.6,0.8
80.7,0.9
81.6,0.8
85.1,0.8
79.7,0.9
81.1,0.9
80.9,0.1
82.7,0.2
83.9,0.2
84,0.5
84,1.3
85,1.5
83,1.2
84.5,1.3
86.9,1.4
83,1.5
79.4,1.2
82.2,1.2
82.7,1
79.5,1.1
82.6,1
84.7,1.2
82.9,0.9
78.4,1.1
72.3,1.3
77.1,1.4
83.2,1.2
79.4,1.1
74.9,1.5
77.1,1.3
80,1.3
81.2,0.9
81,1.1
79.8,1.3
79,1.5
79.4,1.6
